GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
HunyuanVideoTransformer3DModel	diffusers	diffusers.models.HunyuanVideoTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	hunyuanvideo dit	video/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_hunyuan_video; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
I2VGenXLUNet	diffusers	diffusers.models.I2VGenXLUNet(sample_size=8, in_channels=4, out_channels=4, down_block_types=('CrossAttnDownBlock3D',), up_block_types=('UpBlock3D',), block_out_channels=(8,), layers_per_block=1, norm_num_groups=1, cross_attention_dim=8, attention_head_dim=8, num_attention_heads=1)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	i2vgen-xl unet	vision/generative	2022-2024	diffusers_0.38.0_module=unets.unet_i2vgen_xl; ctor_verified_tiny_random_init_params=136520
Kandinsky3UNet	diffusers	diffusers.models.Kandinsky3UNet(block_out_channels=(8,), layers_per_block=1, groups=1, attention_head_dim=8, cross_attention_dim=8, encoder_hid_dim=8, time_embedding_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	kandinsky3 unet	vision/generative	2022-2024	diffusers_0.38.0_module=unets.unet_kandinsky3; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
Kandinsky5Transformer3DModel	diffusers	diffusers.models.Kandinsky5Transformer3DModel(in_visual_dim=8, in_text_dim=8, in_text_dim2=8, time_dim=8, out_visual_dim=8, patch_size=(1, 1, 1), model_dim=8, ff_dim=8, num_text_blocks=1, num_visual_blocks=1, axes_dims=(2, 2, 4))	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	kandinsky5 video dit	video/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_kandinsky; ctor_verified_tiny_random_init_params=2856
LTX2VideoTransformer3DModel	diffusers	diffusers.models.LTX2VideoTransformer3DModel()	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	ltx2 video/audio	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_ltx2; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
LTXVideoTransformer3DModel	diffusers	diffusers.models.LTXVideoTransformer3DModel(in_channels=4, out_channels=4, patch_size=8, patch_size_t=1, num_attention_heads=1, attention_head_dim=8, cross_attention_dim=8, num_layers=1, caption_channels=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	ltx video/audio	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_ltx; ctor_verified_tiny_random_init_params=4004; frontier diffusers family; may need large text/latent conditioning tensors for forward
LatteTransformer3DModel	diffusers	diffusers.models.LatteTransformer3DModel(num_attention_heads=1, attention_head_dim=8, in_channels=4, num_layers=1, cross_attention_dim=8, sample_size=8, patch_size=8, caption_channels=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	latte video dit	video/generative	2022-2024	diffusers_0.38.0_module=transformers.latte_transformer_3d; ctor_verified_tiny_random_init_params=9632
LongCatAudioDiTTransformer	diffusers	diffusers.models.LongCatAudioDiTTransformer(dit_dim=8, dit_depth=1, dit_heads=1, dit_text_dim=8, latent_dim=8)	(1, channels, length) / see constructor notes	float32	longcat audio	audio/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_longcat_audio_dit; ctor_verified_tiny_random_init_params=6192
LongCatAudioDiTVae	diffusers	diffusers.models.LongCatAudioDiTVae(in_channels=4, channels=8, latent_dim=8, encoder_latent_dim=8)	(1, channels, length) / see constructor notes	float32	longcat audio	audio/generative	2025-2026	diffusers_0.38.0_module=autoencoders.autoencoder_longcat_audio_dit; ctor_verified_tiny_random_init_params=370508
LongCatImageTransformer2DModel	diffusers	diffusers.models.LongCatImageTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, pooled_projection_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	longcat image dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_longcat_image; ctor_verified_tiny_random_init_params=8328
Lumina2Transformer2DModel	diffusers	diffusers.models.Lumina2Transformer2DModel(sample_size=8, patch_size=8, in_channels=4, hidden_size=8, num_layers=1, num_refiner_layers=1, num_attention_heads=1, num_kv_heads=1, axes_lens=(2, 2, 4), cap_feat_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	lumina2 dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_lumina2; ctor_verified_tiny_random_init_params=26560
LuminaNextDiT2DModel	diffusers	diffusers.models.LuminaNextDiT2DModel(sample_size=8, patch_size=8, in_channels=4, hidden_size=8, num_layers=1, num_attention_heads=1, num_kv_heads=1, cross_attention_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	lumina-next dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.lumina_nextdit2d; ctor_verified_tiny_random_init_params=15945
MochiTransformer3DModel	diffusers	diffusers.models.MochiTransformer3DModel(patch_size=8, num_attention_heads=1, attention_head_dim=8, num_layers=1, pooled_projection_dim=8, in_channels=4, text_embed_dim=8, time_embed_dim=8)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	mochi video dit	video/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_mochi; ctor_verified_tiny_random_init_params=6372; frontier diffusers family; may need large text/latent conditioning tensors for forward
MotionAdapter	diffusers	diffusers.models.MotionAdapter(block_out_channels=(8, 8, 8, 8), motion_layers_per_block=1, motion_transformer_layers_per_block=1, motion_mid_block_layers_per_block=1, motion_transformer_layers_per_mid_block=1, motion_num_attention_heads=1, motion_norm_num_groups=1)	(1, frames, channels, height, width) or latent video tensor; class-specific forward	float32	t2i-adapter	video/generative	2022-2024	diffusers_0.38.0_module=unets.unet_motion_model; ctor_verified_tiny_random_init_params=20488
MultiAdapter	diffusers	diffusers.models.MultiAdapter([diffusers.models.T2IAdapter(channels=[8], num_res_blocks=1)])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	t2i-adapter	vision/generative	2022-2024	diffusers_0.38.0_module=adapter; container recipe; child module randomized; constructor not counted in probe
MultiControlNetModel	diffusers	diffusers.models.MultiControlNetModel([diffusers.models.ControlNetModel(block_out_channels=(8,), layers_per_block=1, norm_num_groups=1, cross_attention_dim=8, attention_head_dim=8)])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	controlnet	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.multicontrolnet; container recipe; child module randomized; constructor not counted in probe
MultiControlNetUnionModel	diffusers	diffusers.models.MultiControlNetUnionModel([diffusers.models.ControlNetUnionModel(block_out_channels=(8,), layers_per_block=1, norm_num_groups=1, cross_attention_dim=8, attention_head_dim=8, num_control_type=1)])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	controlnet-union	vision/generative	2022-2024	diffusers_0.38.0_module=controlnets.multicontrolnet_union; container recipe; child module randomized; constructor not counted in probe
NucleusMoEImageTransformer2DModel	diffusers	diffusers.models.NucleusMoEImageTransformer2DModel(patch_size=8, in_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, num_key_value_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4), moe_intermediate_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	nucleus-moe image dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_nucleusmoe_image; ctor_verified_tiny_random_init_params=3576
OmniGenTransformer2DModel	diffusers	diffusers.models.OmniGenTransformer2DModel()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	omnigen image dit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_omnigen; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
OvisImageTransformer2DModel	diffusers	diffusers.models.OvisImageTransformer2DModel(patch_size=8, in_channels=4, out_channels=4, num_layers=1, num_single_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	ovis image dit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_ovis_image; ctor_verified_tiny_random_init_params=9200
PRXTransformer2DModel	diffusers	diffusers.models.PRXTransformer2DModel()	(1, channels, height, width) or latent image tensor; class-specific forward	float32	prx image dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.transformer_prx; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init
PixArtTransformer2DModel	diffusers	diffusers.models.PixArtTransformer2DModel(num_attention_heads=1, attention_head_dim=8, in_channels=4, out_channels=4, num_layers=1, norm_num_groups=1, cross_attention_dim=8, sample_size=8, patch_size=8, caption_channels=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	pixart-alpha/sigma dit	vision/generative	2022-2024	diffusers_0.38.0_module=transformers.pixart_transformer_2d; ctor_verified_tiny_random_init_params=8256
PriorTransformer	diffusers	diffusers.models.PriorTransformer(num_attention_heads=1, attention_head_dim=8, num_layers=1, embedding_dim=8, time_embed_dim=8, embedding_proj_dim=8, clip_embed_dim=8)	(1, sequence, embedding_dim) text/image embeddings	float32	kandinsky prior	multimodal/generative	2022-2024	diffusers_0.38.0_module=transformers.prior_transformer; ctor_verified_tiny_random_init_params=1992
QwenImageControlNetModel	diffusers	diffusers.models.QwenImageControlNetModel(patch_size=8, in_channels=4, out_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	qwen-image dit	vision/generative	2025-2026	diffusers_0.38.0_module=controlnets.controlnet_qwenimage; ctor_verified_tiny_random_init_params=4936; frontier diffusers family; may need large text/latent conditioning tensors for forward
QwenImageMultiControlNetModel	diffusers	diffusers.models.QwenImageMultiControlNetModel([diffusers.models.QwenImageControlNetModel(num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2,2,4))])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	qwen-image dit	vision/generative	2025-2026	diffusers_0.38.0_module=controlnets.controlnet_qwenimage; container recipe; child module randomized; constructor not counted in probe; frontier diffusers family; may need large text/latent conditioning tensors for forward
QwenImageTransformer2DModel	diffusers	diffusers.models.QwenImageTransformer2DModel(patch_size=8, in_channels=4, out_channels=4, num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, axes_dims_rope=(2, 2, 4))	(1, channels, height, width) or latent image tensor; class-specific forward	float32	qwen-image dit	vision/generative	2025-2026	diffusers_0.38.0_module=transformers.transformer_qwenimage; ctor_verified_tiny_random_init_params=7272; frontier diffusers family; may need large text/latent conditioning tensors for forward
SD3ControlNetModel	diffusers	diffusers.models.SD3ControlNetModel(num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, caption_projection_dim=8, pooled_projection_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	sd3 mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_sd3; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
SD3MultiControlNetModel	diffusers	diffusers.models.SD3MultiControlNetModel([diffusers.models.SD3ControlNetModel(num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, caption_projection_dim=8, pooled_projection_dim=8)])	(1, channels, height, width) or latent image tensor; class-specific forward	float32	sd3 mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_sd3; container recipe; child module randomized; constructor not counted in probe; frontier diffusers family; may need large text/latent conditioning tensors for forward
SD3Transformer2DModel	diffusers	diffusers.models.SD3Transformer2DModel(num_layers=1, attention_head_dim=8, num_attention_heads=1, joint_attention_dim=8, caption_projection_dim=8, pooled_projection_dim=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	sd3 mmdit	vision/generative	2024-2025	diffusers_0.38.0_module=transformers.transformer_sd3; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
SanaControlNetModel	diffusers	diffusers.models.SanaControlNetModel(num_layers=1, num_attention_heads=1, attention_head_dim=8, num_cross_attention_heads=1, cross_attention_head_dim=8, cross_attention_dim=8, caption_channels=8)	(1, channels, height, width) or latent image tensor; class-specific forward	float32	sana image dit	vision/generative	2024-2025	diffusers_0.38.0_module=controlnets.controlnet_sana; cataloged from installed signature after tiny-probe invariant failure; use recipe/defaults with random init; frontier diffusers family; may need large text/latent conditioning tensors for forward
